섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
전기 부품 및 장비,52102030,300866,Anker Innovations Technology Co Ltd Class A,szse,2026-08-26,124.89,126.48,123.60,126.20,+2.86%,+9.19%,1.31,1.05,"2,770,590",349,N/A
전기 부품 및 장비,52102030,301399,Zhejiang Extek Technology Co Ltd Class A,szse,2026-06-23,19.60,21.24,17.42,21.24,+14.07%,+24.50%,3.54,20.0,"17,372,705",368,N/A
전력 유틸리티,59101010,002616,Guangdong Chant Group Inc Class A,szse,2026-08-11,5.95,6.37,5.84,6.37,+26.64%,+16.88%,0.44,7.42,"10,074,000",64,N/A
전자 장비 및 부품,57104010,002855,Dongguan Chitwing Technology Co Ltd Class A,szse,2026-08-26,12.10,13.31,13.31,13.31,+12.80%,+32.57%,1.21,10.0,"1,417,100",18,N/A
전자 장비 및 부품,57104010,000536,Hua Ying Technology Group Co Ltd Class A,szse,2026-08-24,1.17,1.17,1.16,1.17,+4.00%,+1.74%,0.01,1.3,"410,000",0,N/A
전자 장비 및 부품,57104010,002484,Nantong Jianghai Capacitor Co Ltd Class A,szse,2026-08-26,174,179,170,175,+47.06%,+12.90%,1,0.57,"1,333,600",233,N/A
전자 장비 및 부품,57104010,002935,Chengdu Spaceon Electronics Co Ltd Class A,szse,2026-08-25,"1,190","1,195.93","1,180.12","1,190",+7.40%,+0.59%,5.93,0.5,"41,400",49,N/A
제약,56201040,000931,Beijing Centergate Technologies Holding Co Ltd Class A,szse,2026-08-24,5.60,5.96,5.16,5.70,+31.99%,+23.11%,0.27,4.97,"153,723,509",876,N/A
제약,56201040,002907,Chongqing Pharscin Pharmaceutical Co Ltd Class A,szse,2026-08-26,16.20,16.78,15.80,16.32,+30.78%,+7.72%,0.12,0.74,"34,917,572",569,N/A
제약,56201040,000950,C.Q. Pharmaceutical Holding Co Ltd Class A,szse,2026-08-14,1.18,1.42,1.24,1.38,+22.77%,+19.05%,0.25,22.77,"9,166,000",12,N/A
제약,56201040,300006,Chongqing Lummy Pharmaceutical Co Ltd Class A,szse,2026-08-20,5.94,6.13,5.73,6.08,+15.59%,+2.36%,0.22,3.75,"103,190,680",627,N/A
제약,56201040,300122,Chongqing Zhifei Biological Products Co Ltd Class A,szse,2026-08-20,14.48,15.38,13.76,15,+9.49%,+3.59%,0.83,5.86,"116,404,127","1,746",N/A
종이 포장재,51302020,002303,MYS Group Co Ltd Class A,szse,2026-08-20,"1,357","1,370","1,321","1,360",-0.29%,+0.22%,37,2.8,"11,200",15,N/A
중장비 및 차량,52102020,000816,Jiangsu Nonghua Intelligent Agriculture Technology Co Ltd Class A,szse,2026-08-18,2.91,3.14,2.82,3.04,+10.14%,+8.96%,0.19,6.67,"106,790,136",324,N/A
중장비 및 차량,52102020,300527,China Harzone Industry Corp Ltd Class A,szse,2026-08-26,8.12,8.33,8.09,8.19,+7.06%,+4.60%,0.07,0.86,"11,539,591",94,N/A
중전기장비,52102040,002358,Henan Senyuan Electric Co Ltd Class A,szse,2026-06-08,0.01,0.02,0.01,0.01,+25.00%,+25.00%,0.00,25.0,"78,270,000",1,N/A
철 및 강철,51201020,000655,Shandong Jinling Mining Co Ltd Class A,szse,2026-08-26,7.28,7.38,7.17,7.35,+0.92%,+6.68%,0.07,0.96,"10,360,677",76,N/A
철 및 강철,51201020,000932,Hunan Valin Steel Co Ltd Class A,szse,2026-06-16,0.03,0.03,0.03,0.03,+3.57%,+0.00%,0,0.0,"340,000",0,N/A
통신 및 네트워킹,57102010,002415,Hangzhou Hikvision Digital Technology Co Ltd Class A,szse,2026-08-26,"1,697","1,721","1,700","1,706",+7.36%,+7.30%,9,0.53,"9,000",15,N/A
투자 관리 및 펀드 운영,55102020,000567,Hainan Haide Capital Management Co Ltd Class A,szse,2026-08-10,6.30,6.42,6.12,6.37,+1.11%,+5.81%,0.19,3.07,"30,849,544",196,N/A
투자 은행 및 중개 서비스,55102010,000750,Sealand Securities Co.  Ltd. Class A,szse,2026-07-21,3.87,3.88,3.81,3.87,+3.75%,+4.59%,0.04,1.04,"76,319,134",295,N/A
투자 은행 및 중개 서비스,55102010,001236,Soho Holly Futures Co.  Ltd. Class A,szse,2026-06-02,8.16,8.21,7.86,8.21,-2.61%,+9.91%,0.22,2.75,"25,131,795",206,N/A
특수 채굴 및 금속,51201050,002716,Hunan Silver Co Ltd Class A,szse,2026-08-24,11.46,12.10,11.17,11.60,+23.54%,+22.49%,0.28,2.47,"455,086,106","5,278",N/A
특수 채굴 및 금속,51201050,000737,North Copper Co Ltd Class A,szse,2026-08-24,1.92,1.93,1.90,1.93,+1.80%,+1.85%,0.01,0.52,"154,500",0,N/A
특수 채굴 및 금속,51201050,002114,Yunnan Luoping Zinc & Electricity Co Ltd Class A,szse,2026-08-26,660,665,660,664,+7.62%,+2.79%,4,0.61,"9,200",6,N/A
특수 화학제,51101030,002986,Guangdong Yussen Energy Technology Co Ltd Class A,szse,2026-08-20,13.45,13.66,13.13,13.56,+12.81%,+0.82%,0.20,1.5,"7,628,800",103,N/A
핀테크,57301010,000997,Newland Digital Technology Co Ltd Class A,szse,2026-08-26,20.69,21.04,20.36,20.88,+2.14%,+15.17%,0.19,0.92,"68,408,254","1,428",N/A
